source	target	note
Old Guard refer to the Sollists from the old administration who defends the status quo and promotes conservative politics. Some claim that they established a deep state that controls the state apparatus.	舊衛隊 指的是舊政府中捍衛現狀並推動保守政治的 索爾主義者。有些人聲稱他們建立了一個控制國家機器的深層政府。	full-corpus
Resources & Units	資源與單位	full-corpus
Julian-Constantin Nowak	朱利安-康斯坦丁·諾瓦克	full-corpus
Suporrt Explanation	支持度說明	full-corpus
Log Out	登出	full-corpus
Harufumi Sakasegawa	坂瀨川春文	full-corpus
Next	下一頁	full-corpus
Economical Growth	經濟成長	full-corpus
Managing Director	執行董事	full-corpus
Restart	重新開始	full-corpus
Malenyevist	馬列尼耶夫主義者	full-corpus
Return to Conversation	回到對話	full-corpus
Felix Kramer	Felix Kramer	full-corpus
Marketing Coordinator	行銷協調員	full-corpus
Colin James Gurney	Colin James Gurney	full-corpus
Emily Cox	Emily Cox	full-corpus
Daniel Zacharias	Daniel Zacharias	full-corpus
All land border tiles must have a unit.	所有陸地邊界地塊必須駐紮單位。	full-corpus
5/10	5/10	full-corpus
Under Construction	建設中	full-corpus
Congratulations. You've unlocked the daily reward for today.


Keep up the good work.	恭喜。您已解鎖今日的每日獎勵。


繼續保持努力。	full-corpus
END	結束	full-corpus
Continue...	繼續...	full-corpus
Cactuar512	Cactuar512	full-corpus
Marketing	行銷	full-corpus
Production Manager	製作經理	full-corpus
Ethnicity	族裔	full-corpus
X	X	full-corpus
ARCASIAN CAPITALISM	阿卡西亞資本主義	full-corpus
Gert Elshani	Gert Elshani	full-corpus
Andy Sum	Andy Sum	full-corpus
User Testing	使用者測試	full-corpus
Naval Invasion	海軍入侵	full-corpus
Continue with Apple	使用 Apple 繼續	full-corpus
HORST NOWAK	HORST NOWAK	full-corpus
Brendan McElroy	Brendan McElroy	full-corpus
Tanks	坦克	full-corpus
Danielle Allum	丹妮爾·阿勒姆	full-corpus
Are you sure you want to delete Torpor Games Account?
You will lose your game backups and any associated data.	您確定要刪除 Torpor Games 帳號嗎？
您將會遺失您的遊戲備份以及任何相關資料。	full-corpus
Construction	建設	full-corpus
Typewriter	打字機	full-corpus
Deathminor	Deathminor	full-corpus
Sarah Pavlich	Sarah Pavlich	full-corpus
Suzanne Wallace
	蘇珊·華萊士
	full-corpus
Aarón J. Morales	Aarón J. Morales	full-corpus
Profile Name is required.	必須輸入個人檔案名稱。	full-corpus
Business Manager	商務經理	full-corpus
United Sordland Party	蘇德蘭團結黨	full-corpus
+	+	full-corpus
-2	-2	full-corpus
You have given away your powers to veto bills.	您已經放棄了否決法案的權力。	full-corpus
Save	儲存	full-corpus
Torpor Games Privacy Policy	Torpor Games 隱私權政策	full-corpus
Bundles	組合包	full-corpus
Fernando Rizo	Fernando Rizo	full-corpus
ECONOMY	經濟	full-corpus
(Add to Trainining Queue)	（加入訓練佇列）	full-corpus
Cancel	取消	full-corpus
Tutorial	教學	full-corpus
Sign	簽署	full-corpus
Low	低	full-corpus
Sarmo	Sarmo	full-corpus
Data Collection

This game collects gameplay data through Torpor Games' analytics service, A/B testing and service providers. The information gathered will aid us in enhancing game balance for a better game experience. For further information see the Torpor Games Privacy Policy.	數據收集

本遊戲透過 Torpor Games 的分析服務、A/B 測試及服務供應商收集遊戲數據。所收集的資訊將協助我們改善遊戲平衡，以提供更好的遊戲體驗。欲了解更多資訊，請參閱 Torpor Games 隱私權政策。	full-corpus
1	1	full-corpus
Voluntary Community Testers	志願社群測試人員	full-corpus
Enter save file name...	輸入存檔名稱...	full-corpus
Open Demographics	開啟人口統計	full-corpus
Air supports for 1 turn
+{0} <sprite name="attack">
+{0} <sprite name="defence">
+{0} <sprite name="support">	空中支援 1 回合
+{0} <sprite name="attack">
+{0} <sprite name="defence">
+{0} <sprite name="support">	full-corpus
Eastern Merkopa Bundle	東默科帕 組合包	full-corpus
Ipek Unal	Ipek Unal	full-corpus
0	0	full-corpus
Colin Gurney	Colin Gurney	full-corpus
Michael Nathanael	Michael Nathanael	full-corpus
Ministry of Technology	部 技術	full-corpus
Hyperlinks	超連結	full-corpus
Experience	經驗	full-corpus
Return	返回	full-corpus
DEPLOYED	已部署	full-corpus
Benfi, nicknamed “The Jewel of Gruni”, is the 7th biggest and 3rd wealthiest city in Republic of Sordland. It is located in the south-eastern region of Gruni by the Ves Sea. 

It is internationally renowned for its beaches and wine, and very popular as a cheaper alternative to the luxurious coasts of Lespia. It produces 1/5 of Sordland’s tourism income alone. 	本菲，綽號「格魯尼之珠」，是蘇德蘭共和國第七大城市，也是第三富裕的城市。它位於格魯尼東南部，瀕臨維斯海。

它以海灘和葡萄酒聞名於世，作為萊斯皮亞豪華海岸的平價替代選擇而廣受歡迎。僅憑該市一地，就貢獻了蘇德蘭五分之一的旅遊收入。	full-corpus
Zoom Out	縮小	full-corpus
Manual Save	手動存檔	full-corpus
SAVING...	儲存中...	full-corpus
Journal	日誌	full-corpus
4th President of Sordland	第 4 蘇德蘭總統	full-corpus
Reinforcements	增援	full-corpus
Republic of Lespia	萊斯皮亞共和國	full-corpus
1954	1954	full-corpus
Campaing Finance Bill	競選財務法案	full-corpus
Janine Campos	Janine Campos	full-corpus
In Training	訓練中	full-corpus
RECENT ACTIVITY	近期活動	full-corpus
Reconnect	重新連線	full-corpus
In the graph below, you can track the economy's growth over time and use the timeline filter to explore historical data.	在下方的圖表中，您可以追蹤經濟隨時間的成長，並使用時間軸篩選器來探索歷史數據。	full-corpus
asdasdasd	asdasdasd	full-corpus
Welcome to Suzerain	歡迎來到《蘇茲倫》	full-corpus
Martin Eyerer	Martin Eyerer	full-corpus
New E-Mail Address	新電子郵件地址	full-corpus
Gift Codes	禮物代碼	full-corpus
Delete Torpor Account	刪除 Torpor 帳號	full-corpus
Ministry of Music, Sound and 
Writing	音樂、音效與寫作部 
	full-corpus
Save file uploaded.	存檔已上傳。	full-corpus
End Turn	結束回合	full-corpus
Locked	已鎖定	full-corpus
Operations	營運	full-corpus
Edit Email	編輯電子郵件	full-corpus
The Grand National Assembly	大國民議會	full-corpus
Rizia Completed	里齊亞 已完成	full-corpus
Forgot Password?	忘記密碼？	full-corpus
Ministry of Design and Quality 
Assurance	設計與品質保證部 
	full-corpus
Ame Searle	艾姆·希爾	full-corpus
Scott Reismanis	Scott Reismanis	full-corpus
Veto	否決	full-corpus
Shawn Petraschuk	Shawn Petraschuk	full-corpus
Claire Goodwin	Claire Goodwin	full-corpus
Achievement Unlocked!	成就解鎖！	full-corpus
Juan Lagar	胡安·拉加爾	full-corpus
SSAO	SSAO	full-corpus
Influence 4	影響力 4	full-corpus
Elderlybull	Elderlybull	full-corpus
Funded with the assistance of 
The Treasure Hunters FanClub	由尋寶獵人粉絲俱樂部協助資助	full-corpus
Account Settings	帳號設定	full-corpus
PRESIDENTEN DEI SORDLAND	索爾德蘭總統	full-corpus
Marcus Lim	馬庫斯·林	full-corpus
Reward:	獎勵：	full-corpus
asdasdsad	asdasdsad	full-corpus
Re-Enter Password	再次輸入密碼	full-corpus
Armored Divisions can move faster on supply lines but will suffer when attacking mountains.  	裝甲師在補給線上移動速度較快，但在進攻山區時會受到懲罰。  	full-corpus
Marketing Manager	行銷經理	full-corpus
Ministry of Writing and 
Visual Arts	寫作與視覺藝術部 
	full-corpus
Window Mode	視窗模式	full-corpus
Decisions	決策	full-corpus
Overview	結束檢視	full-corpus
Louis Li	路易斯·李	full-corpus
CHRIS WRIGHT	CHRIS WRIGHT	full-corpus
Christopher Ferazzoli	克里斯多福·費拉佐利	full-corpus
Co-Published by Fellow Traveller	由 Fellow Traveller 聯合發行	full-corpus
Diplomacy	外交	full-corpus
Saved on a different version	於不同版本儲存	full-corpus
Set Password	設定密碼	full-corpus
128h	128小時	full-corpus
Finish	完成	full-corpus
Link Account	連結帳號	full-corpus
Anett Jenichen	Anett 詹ichen	full-corpus
Ryan Seville	Ryan Seville	full-corpus
Open Codex Entry	開啟法典條目	full-corpus
Info	資訊	full-corpus
Login	登入	full-corpus
Next Token/Panel	下一個標記/面板	full-corpus
1/2	1/2	full-corpus
Not Enough Story Points	故事點數不足	full-corpus
narration text	敘述文字	full-corpus
STORY POINTS	故事點數	full-corpus
Fortify a unit 
Heal {0} <sprite name="organization"> per turn 
Add {1} <sprite name="defence"> defence	強化單位 
每回合恢復 {0} <sprite name="organization"> 
增加 {1} <sprite name="defence"> 防禦	full-corpus
File Name: 	檔案名稱：	full-corpus
Story Selection - 28-11-2024 19-05-18	故事選擇 - 2024-11-28 19-05-18	full-corpus
Currently Active:	當前 法案 活躍：	full-corpus
Back to Codex	返回法典	full-corpus
In Memory Of	紀念	full-corpus
LEGISLATIVE REPRESENTATIVE	立法代表	full-corpus
Vihan Yalamanchili	Vihan Yalamanchili	full-corpus
Ekin Keserer	Ekin Keserer	full-corpus
Torpor Mode Enabled	Torpor 模式已啟用	full-corpus
Locations	地點	full-corpus
Petr Vectern	彼得·維克特	full-corpus
No decrees currently available in this category	此類別目前沒有可用的法令	full-corpus
Ilke Karademir	Ilke Karademir	full-corpus
Production	製作	full-corpus
Clementine Laffont	Clementine Laffont	full-corpus
Trucks	卡車	full-corpus
5	5	full-corpus
Templin Institute	坦普林研究所	full-corpus
Password is required.	需要密碼。	full-corpus
Ministry of Production	部生產部	full-corpus
Burg_er	Burg_er	full-corpus
AVAILABLE	可用	full-corpus
Target FPS	目標幀率	full-corpus
Rizian Army	里齊亞人 軍隊	full-corpus
Mesquita Lima	Mesquita Lima	full-corpus
Version:	版本：	full-corpus
Play the Sordland Story Pack to unlock this item.	遊玩 蘇德蘭 故事包以解鎖此項目。	full-corpus
Current Turn	當前回合	full-corpus
Torpor Account Login	Torpor 帳號登入	full-corpus
20	20	full-corpus
Enter a valid e-mail address.	請輸入有效的電子郵件地址。	full-corpus
1000	1000	full-corpus
adasd	adasd	full-corpus
Anti-Aliasing	反鋸齒	full-corpus
/	/	full-corpus
Map Movement/Scroll	地圖移動/捲動	full-corpus
Ministry of Visual Arts	部視覺藝術部	full-corpus
Ministry of Foreign Affairs	部外交部	full-corpus
Denis Gier	Denis Gier	full-corpus
Decline	拒絕	full-corpus
Warning	警告	full-corpus
Select a Tile	選擇一個地塊	full-corpus
Reset Password	重設密碼	full-corpus
Nikolaos Ntalianis	Nikolaos Ntalianis	full-corpus
Topic	主題	full-corpus
New Save	新存檔	full-corpus
Characters	角色	full-corpus
Last Login: Dec 4 2024	上次登入：2024年12月4日	full-corpus
Dec 24 2024	2024年12月24日	full-corpus
Skip Read Dialogue Text	跳過已讀對話	full-corpus
INR 1000000	INR 1000000	full-corpus
POLICIES	政策	full-corpus
CHANGES OVER TIME	隨時間的變化	full-corpus
Loading...	載入中...	full-corpus
Open City Information	開啟城市資訊	full-corpus
Entry	條目	full-corpus
Ioannis Petridis	Ioannis Petridis	full-corpus
V Sync	垂直同步	full-corpus
Tickets	票券	full-corpus
Niels Runge	Niels Runge	full-corpus
Sign up with Apple	使用 Apple 帳號註冊	full-corpus
Edit Username	編輯使用者名稱	full-corpus
Jamie Nikolovski	Jamie Nikolovski	full-corpus
Settings	設定	full-corpus
Profile Details	個人資料詳情	full-corpus
Omer Yentur	Omer Yentur	full-corpus
Notepad	記事本	full-corpus
1/2 Cloud Saves	1/2 雲端存檔	full-corpus
Show Sordish Politicans	顯示 蘇德蘭人 政治人物	full-corpus
Mitchel Crama	Mitchel Crama	full-corpus
Country Overview	國家 結束 概覽	full-corpus
Load Last Checkpoint	載入最後檢查點	full-corpus
Vice President:	副總統：	full-corpus
Ame Brillantes	Ame Brillantes	full-corpus
Jeppe Kjærgaard	Jeppe Kjærgaard	full-corpus
St Daniel of PanContanan Church	聖丹尼爾潘康塔納人教堂	full-corpus
Main Menu	主選單	full-corpus
Torpor Account	Torpor 帳號	full-corpus
Mridul Kashatria	Mridul Kashatria	full-corpus
Panel Title	面板標題	full-corpus
Section 1	第一節	full-corpus
Adam Sharp	Adam Sharp	full-corpus
Republic of Sordland	蘇德蘭共和國	full-corpus
Sol Bekic	索爾·貝基奇	full-corpus
Permanently removes Ads from Sordland Story Pack & unlocks premium Save/Load	永久移除 蘇德蘭 故事包中的廣告並解鎖高級存檔/讀檔功能	full-corpus
Welfare	福利	full-corpus
UI Scaling
	介面縮放
	full-corpus
Font	字體	full-corpus
Brand Manager	品牌經理	full-corpus
Milt	Milt	full-corpus
info value text text info dfddddddd	資訊數值文字文字資訊 dfddddddd	full-corpus
Achievements	成就	full-corpus
Daniel Emig	Daniel Emig	full-corpus
42	42	full-corpus
Order	指令	full-corpus
Shadows	陰影	full-corpus
Sign up with Google	使用 Google 註冊	full-corpus
sadasdas	sadasdas	full-corpus
SITUATIONS	局勢	full-corpus
Paratrooper	傘兵	full-corpus
Ashley Nicollette	Ashley Nicollette	full-corpus
Florian Maric	弗洛里安·馬里奇	full-corpus
Edit Name:	編輯名稱：	full-corpus
Des Gayle	Des Gayle	full-corpus
Codex Entry	法典條目	full-corpus
Odahir Mena	奧達希爾·梅納	full-corpus
Date: 	日期： 	full-corpus
Ozgun Kilit	Ozgun Kilit	full-corpus
8	8	full-corpus
Ministry of Technology, Writing and 
Design	部 技術、寫作與
設計	full-corpus
1-Day Ticket	1 日通行證	full-corpus
GrouchoMarxist	GrouchoMarxist	full-corpus
Adel Baharuhom	Adel Baharuhom	full-corpus
Finance Manager	財務經理	full-corpus
130	130	full-corpus
Enemy Unit	敵方單位	full-corpus
The steady sounds of clip-clopping hooves pulling creaking carriages will be absent from the streets in Chicago starting next year after the City Council on Friday voted to ban horse-drawn carriages.


Under the ordinance, which is effective Jan. 1, 2021, operators will be unable to renew their licenses, and the city will stop issuing new ones.


The horse-drawn carriage industry has been shrinking for years. The city now has 10 carriage licenses that will expire at the end of the year, The Chicago Tribune reported. At one point, it had 60 licenses available, according to The Associated Press.	芝加哥市議會於週五投票通過禁止馬車行駛，自明年起，芝加哥街頭將不再有馬蹄敲擊路面與馬車嘎吱作響的聲音。


根據該條例，自2021年1月1日起生效，營運商將無法續簽執照，市政府也將停止核發新執照。


據《芝加哥論壇報》報導，馬車產業多年來一直在萎縮。目前該市僅剩10張馬車執照將於年底到期。據美聯社報導，該市曾一度提供60張執照。	full-corpus
Autosave	自動儲存	full-corpus
Pedram Mashouf	佩德拉姆·馬舒夫	full-corpus
Chief Strategist
Ministry of Design and Writing	首席策略師
設計與編劇部	full-corpus
Commission for Fair Trade and Competition	公平貿易與競爭委員會	full-corpus
Get full access to all story packs for 1 day, ad-free.	獲取 1 天所有故事包的完整訪問權限，且無廣告。	full-corpus
1230	1230	full-corpus
Ministry of Human Resources and 
Administration	人力資源與行政部	full-corpus
Lighting	光照	full-corpus
Josh Hardy	Josh Hardy	full-corpus
Casey Braden	Casey Braden	full-corpus
There is already an active scene.	已有活動場景。	full-corpus
Naro	Naro	full-corpus
Between 1954-1958	1954-1958 年間	full-corpus
Air drop a paratrooper	空投傘兵	full-corpus
Jan Bąk	Jan Bąk	full-corpus
The Crown orders the establishment of a state-of-the-art bomber jet factory in Jales, within Brenas province. Specializing in the production of advanced bombers, the facility will significantly enhance the Kingdom’s offensive air capabilities. These bombers are designed for precision strikes on both land and sea targets, ensuring strategic dominance in future operations.

This decree strengthens the Kingdom’s military power, focusing on long-range strike capabilities and operational flexibility.	王室 下令在 布雷納斯 省內的 賈萊斯 建立一座最先進的轟炸機工廠。該設施專門生產先進的轟炸機，將顯著增強 王國 的進攻性空中能力。這些轟炸機專為對陸地和海上目標進行精確打擊而設計，確保在未來的行動中佔據戰略優勢。

該法令加強了 王國 的軍事力量，重點在於遠程打擊能力和作戰靈活性。	full-corpus
MALENYEVISM	馬爾內夫主義	full-corpus
Map Switch/Open Login Page	地圖切換/開啟登入頁面	full-corpus
Music Volume	音樂音量	full-corpus
23	23	full-corpus
6	6	full-corpus
+25	+25	full-corpus
Action Points	法案點數	full-corpus
Toggle whether unit stats should be displayed or not	切換是否顯示單位數據	full-corpus
Jimi Henriksson	吉米·亨里克森	full-corpus
Joni van der Leeuw	喬尼·范·德·列烏	full-corpus
Air Support	空中支援	full-corpus
250	250	full-corpus
Excavation of Topes Ancient Rezenid City
	挖掘 托佩斯 古代 雷澤尼德 城市
	full-corpus
Commission for Fair Trade Commission for Fa	公平貿易委員會公平貿易委員會	full-corpus
Ayan	阿揚	full-corpus
Restore Purchases	恢復購買	full-corpus
Jonathan Baker	Jonathan Baker	full-corpus
Sturtecen ely tuten inter ord dei Holsord	Sturtecen ely tuten inter ord dei 霍爾索德	full-corpus
You won't be able to change how Anton Rayne looks after starting the story.	開始故事後，您將無法更改 安東·雷恩 的外觀。	full-corpus
Brian Kelleher	Brian Kelleher	full-corpus
Apply	應用	full-corpus
Political Party:	政黨：	full-corpus
Finish 10 Actions	完成 10 個 法案	full-corpus
CHOOSE A PROFILE PICTURE	選擇頭像	full-corpus
<sprite name=currency>	<sprite name=currency>	full-corpus
Taha Batur Şenlİ	Taha Batur Şenlİ	full-corpus
Evolve Originals	Evolve Originals	full-corpus
asdasd	asdasd	full-corpus
Max Muehlen	Max Muehlen	full-corpus
Cabinet	內閣	full-corpus
Stijn Verstraete	斯泰恩·維斯特拉特	full-corpus
Next Entry	下一條目	full-corpus
Instreten sis er Anginicar av Moreigna ins Altmer ins Almergwolltene keserten..	Instreten sis er Anginicar av Moreigna ins Altmer ins Almergwolltene keserten..	full-corpus
- 20,000 HOS employees lost their jobs.
- More than 8000 people were arrested under charges for assisting Young Sords.
- Half a million women joined the workforce.
- 50,000 soldiers became unemployed.
- 238 people were killed.
- More than a million workers secured their rights under the new Workers Rights Act.
- Bludish crime decreased by 60%.
- Half a million women joined the workforce.
- 50,000 soldiers became unemployed.
- 238 people were killed.
- More than a million workers secured their rights under the new Workers Rights Act.
- Bludish crime decreased by 60%.	- 20,000名霍斯員工失去了工作。
- 超過8000人因協助青年蘇德蘭人的指控而被捕。
- 五十萬名女性加入了勞動力市場。
- 50,000名士兵失業。
- 238人死亡。
- 超過一百萬名工人在新的《勞工權利法案》下獲得了保障。
- 布魯德人犯罪率下降了60%。
- 五十萬名女性加入了勞動力市場。
- 50,000名士兵失業。
- 238人死亡。
- 超過一百萬名工人在新的《勞工權利法案》下獲得了保障。
- 布魯德人犯罪率下降了60%。	full-corpus
FC ANRICA CUP	安瑞卡盃 (FC ANRICA CUP)	full-corpus
History will remember you as a...	歷史將會銘記你是一位...	full-corpus
Šimon Škvára	西蒙·什克瓦拉	full-corpus
VerylongusernameVerylongusername	VerylongusernameVerylongusername	full-corpus
CHOOSE A POLITICAL AFFILIATION	選擇政治傾向	full-corpus
NOTABLE MEMBERS	重要成員	full-corpus
SOLLISM	索爾主義	full-corpus
You haven't finished the Main Story.
Starting a DLC Story will automatically generate a default save file for the main story. Are you sure you want to continue?	您尚未完成主線故事。
開始 DLC 故事將會自動為您的主線故事產生一個預設存檔。您確定要繼續嗎？	full-corpus
SwanKing	斯旺國王	full-corpus
€0.99	€0.99	full-corpus
Negotiating Power	談判能力	full-corpus
ACHIEVEMENTS:	成就：	full-corpus
High	高	full-corpus
Maria Bilo	瑪麗亞·比洛	full-corpus
James Spence	詹姆斯·斯彭斯	full-corpus
Continue with Google	使用 Google 繼續	full-corpus
Zysco	Zysco	full-corpus
E-Mail Address	電子郵件地址	full-corpus
You are currently playing as a guest.
Login to use your Suzerain profile across devices.	您目前以訪客身份進行遊戲。
登入以在不同裝置間使用您的《Suzerain》個人檔案。	full-corpus
If the email is found, you will receive an email shortly.	若找到該電子郵件地址，您很快就會收到一封郵件。	full-corpus
Tung Thanh Cao	Tung Thanh Cao	full-corpus
Ministry of Writing
	部 寫作
	full-corpus
SFX Volume	音效音量	full-corpus
Ministry of Writing and Design	部寫作與設計	full-corpus
Simple Peasant	普通農民	full-corpus
Delete Analytics Data	刪除分析數據	full-corpus
Back to Login	返回登入	full-corpus
Artic Z.	Artic Z.	full-corpus
Analytics Consent	分析數據同意	full-corpus
To access this page, please reconnect to the internet.	若要存取此頁面，請重新連線至網際網路。	full-corpus
Train	訓練	full-corpus
Go to Location	前往地點	full-corpus
Delete	刪除	full-corpus
Torpor Mode Disabled	Torpor 模式已停用	full-corpus
<size=19>(Press)</size> Gamepad Menu	<size=19>(按下)</size> 遊戲手把選單	full-corpus
Story Packs	劇情包	full-corpus
Enemy Turn	敵方回合	full-corpus
Yaroslav Bakhmutov	Yaroslav Bakhmutov	full-corpus
OR	或	full-corpus
Graphics	圖形	full-corpus
Alison Nieman	Alison Nieman	full-corpus
Elected In:	當選於：	full-corpus
STATUS	狀態	full-corpus
ENACTED	已頒布	full-corpus
Profile Name already exists.	個人檔案名稱已存在。	full-corpus
<color=#F6E09C><size=51>0</size></color><color=#AFADAD><size=32>/0</size></color>	<color=#F6E09C><size=51>0</size></color><color=#AFADAD><size=32>/0</size></color>	full-corpus
Cancel Training	取消訓練	full-corpus
Passwords need to match.	密碼必須相符。	full-corpus
Use Story Points to start or continue playing a story. 

Earn more by watching ads, leveling up, and completing in-game actions.	使用劇情點數來開始或繼續遊玩劇情。

透過觀看廣告、升級以及完成遊戲內行動來賺取更多點數。	full-corpus
Minimize/Unminimize/
Open Profile Page	最小化/取消最小化/
開啟個人資料頁面	full-corpus
Enter a valid password.	請輸入有效的密碼。	full-corpus
Deploying	部署中	full-corpus
Oscar Watson	奧斯卡·沃森	full-corpus
Leveled Up	升級	full-corpus
Irene Preuss	艾琳·普魯斯	full-corpus
Loading ad…	正在載入廣告…	full-corpus
Watch Ads	觀看廣告	full-corpus
There are no news available yet...	目前沒有新聞...	full-corpus
Paweł Majewski	帕維爾·馬耶夫斯基	full-corpus
Disabled	已停用	full-corpus
Receive news and updates from Torpor Games	接收來自 Torpor Games 的新聞與更新	full-corpus
GAMEPAD CONTROLS	手把操作	full-corpus
Load Save	載入存檔	full-corpus
Armored Divisions manufactared by the Rizian Tank Company.

Gets -1 Attack Penalty when attacking mountains	由 里齊亞人 坦克公司製造的裝甲師。

在攻擊山區時會受到 -1 攻擊懲罰	full-corpus
Trade	貿易	full-corpus
Chris Wright	Chris Wright	full-corpus
Load Database	載入資料庫	full-corpus
Scout	偵察	full-corpus
INTE FORET SESIONER	INTE FORET SESIONER	full-corpus
Deselect current unit	取消選擇當前單位	full-corpus
-	-	full-corpus
Invalid Profile Name	無效的個人檔案名稱	full-corpus
INFLUENCE	影響力	full-corpus
Master Volume	主音量	full-corpus
The new constitution will allow for the Assembly to override a veto only with a 2/3 (66%) supermajority.	新憲法將允許 議會 僅在獲得 2/3 (66%) 的絕對多數票時才能否決總統的否決權。	full-corpus
Disables a unit
Inflicts {0} <sprite name="organization"> damage	停用一個單位
造成 {0} <sprite name="organization"> 傷害	full-corpus
Robert E. Davis	羅伯特·E·戴維斯	full-corpus
6/8	6/8	full-corpus
Reset Deployment	重置部署	full-corpus
Affiliation	隸屬關係	full-corpus
Andrea Lippi	Andrea Lippi	full-corpus
Version	版本	full-corpus
Exit	離開	full-corpus
Options	選項	full-corpus
LOAD	載入	full-corpus
Title	標題	full-corpus
(CONTRIBUTING MEMBERS)	（貢獻成員）	full-corpus
Accept	接受	full-corpus
John Paul Velarde Jose	John Paul Velarde Jose	full-corpus
Click to Login	點擊登入	full-corpus
Error	錯誤	full-corpus
Current	當前	full-corpus
Character Customization	角色自訂	full-corpus
Güliz Dülgeroğlu Küpçü	Güliz Dülgeroğlu Küpçü	full-corpus
Collections	收藏	full-corpus
SORDISH REFORMISM	索德蘭改良主義	full-corpus
Select	選擇	full-corpus
