source	target	note
Vihan Yalamanchili	Vihan Yalamanchili	full-corpus-half-a
Ekin Keserer	Ekin Keserer	full-corpus-half-a
Torpor Mode Enabled	Torpor 模式已啟用	full-corpus-half-a
Locations	地點	full-corpus-half-a
Petr Vectern	彼得·維克特	full-corpus-half-a
No decrees currently available in this category	此類別目前沒有可用的法令	full-corpus-half-a
Ilke Karademir	Ilke Karademir	full-corpus-half-a
Production	製作	full-corpus-half-a
Clementine Laffont	Clementine Laffont	full-corpus-half-a
Trucks	卡車	full-corpus-half-a
5	5	full-corpus-half-a
Templin Institute	坦普林研究所	full-corpus-half-a
Password is required.	需要密碼。	full-corpus-half-a
Ministry of Production	部生產部	full-corpus-half-a
Burg_er	Burg_er	full-corpus-half-a
AVAILABLE	可用	full-corpus-half-a
Target FPS	目標幀率	full-corpus-half-a
Rizian Army	里齊亞人 軍隊	full-corpus-half-a
Mesquita Lima	Mesquita Lima	full-corpus-half-a
Version:	版本：	full-corpus-half-a
Play the Sordland Story Pack to unlock this item.	遊玩 蘇德蘭 故事包以解鎖此項目。	full-corpus-half-a
Current Turn	當前回合	full-corpus-half-a
Torpor Account Login	Torpor 帳號登入	full-corpus-half-a
20	20	full-corpus-half-a
Enter a valid e-mail address.	請輸入有效的電子郵件地址。	full-corpus-half-a
1000	1000	full-corpus-half-a
adasd	adasd	full-corpus-half-a
Anti-Aliasing	反鋸齒	full-corpus-half-a
/	/	full-corpus-half-a
Map Movement/Scroll	地圖移動/捲動	full-corpus-half-a
Ministry of Visual Arts	部視覺藝術部	full-corpus-half-a
Ministry of Foreign Affairs	部外交部	full-corpus-half-a
Denis Gier	Denis Gier	full-corpus-half-a
Decline	拒絕	full-corpus-half-a
Warning	警告	full-corpus-half-a
Select a Tile	選擇一個地塊	full-corpus-half-a
Reset Password	重設密碼	full-corpus-half-a
Nikolaos Ntalianis	Nikolaos Ntalianis	full-corpus-half-a
Topic	主題	full-corpus-half-a
New Save	新存檔	full-corpus-half-a
Characters	角色	full-corpus-half-a
