id	source	target
scene-tmp-00140	Data Collection

This game collects gameplay data through Torpor Games' analytics service, A/B testing and service providers. The information gathered will aid us in enhancing game balance for a better game experience. For further information see the Torpor Games Privacy Policy.	數據收集

本遊戲透過 Torpor Games 的分析服務、A/B 測試及服務供應商收集遊戲數據。所收集的資訊將協助我們改善遊戲平衡，以提供更好的遊戲體驗。欲知詳情，請參閱 Torpor Games 隱私權政策。
scene-tmp-00142	Voluntary Community Testers	志願社群測試人員
scene-tmp-00144	FC ANRICA CUP	安瑞卡盃 (FC ANRICA CUP)
scene-tmp-00146	Influence 4	影響力 4
scene-tmp-00147	Skip Read Dialogue Text	跳過已讀對話
scene-tmp-00148	Business Manager	商務經理
scene-tmp-00149	Account Settings	帳號設定
scene-tmp-00150	Reward:	獎勵：
scene-tmp-00151	Re-Enter Password	重新輸入密碼
scene-tmp-00152	Choose Your Own	自行選擇
scene-tmp-00153	V Sync	垂直同步
scene-tmp-00154	Cancel	取消
scene-tmp-00156	Achievement Unlocked!	成就解鎖！
scene-tmp-00157	User Testing	用戶測試
scene-tmp-00159	This mode disables manual saving and enables achievements. You can only turn it off after completing the story once.	此模式會停用手動存檔並啟用成就。你只能在完成一次故事後將其關閉。
scene-tmp-00160	Production Manager	製作經理
scene-tmp-00161	Set Password	設定密碼
scene-tmp-00162	128h	128小時
scene-tmp-00163	Marketing	行銷
scene-tmp-00165	Link Account	連結帳號
scene-tmp-00167	Anti-Aliasing	反鋸齒
scene-tmp-00169	Info	資訊
scene-tmp-00172	World Map - 01.12.2023 19:58	世界地圖 - 2023年12月1日 19:58
scene-tmp-00173	Login	登入
scene-tmp-00174	Torpor Games Privacy Policy	Torpor Games 隱私權政策
scene-tmp-00175	Not Enough Story Points	故事點數不足
scene-tmp-00176	Fernando Rizo	費爾南多·里佐
scene-tmp-00177	Select	選擇
scene-tmp-00178	STORY POINTS	故事點數
scene-tmp-00179	Target FPS	目標幀率
scene-tmp-00180	Aarón J. Morales	亞倫·J·莫拉萊斯
scene-tmp-00181	LEGISLATIVE REPRESENTATIVE	立法代表
scene-tmp-00182	New Game Name	新遊戲名稱
scene-tmp-00183	A charismatic leader who's promising grand reforms.
He navigates between Sollist traditions and populist reforms.	一位承諾進行重大改革的魅力型領導人。
他在 索爾主義者 傳統與民粹主義改革之間遊走。
scene-tmp-00184	Danielle Allum	丹妮爾·阿勒姆
scene-tmp-00185	Suzanne Wallace	蘇珊·華萊士
scene-tmp-00187	GAMEPAD CONTROLS	手把控制
scene-tmp-00188	Anton Rayne	安東·雷恩
scene-tmp-00189	Grimaldus	格里馬爾杜斯
scene-tmp-00190	Password is required.	需要密碼。
scene-tmp-00191	Titas Serpenskas	提塔斯·塞彭斯卡斯
scene-tmp-00192	Minimize/Unminimize/
Open Profile Page	最小化/取消最小化/
開啟個人資料頁面
scene-tmp-00193	Finish	完成
scene-tmp-00194	Stephen Gray	史蒂芬·格雷
scene-tmp-00195	Save file uploaded.	存檔已上傳。
scene-tmp-00196	Torpor Account Login	Torpor 帳號登入
scene-tmp-00198	Torpor Account	Torpor 帳號
scene-tmp-00199	Enter a valid e-mail address.	請輸入有效的電子郵件地址。
scene-tmp-00201	Rizia Completed	里齊亞 已完成
scene-tmp-00202	Julian-Constantin Nowak	朱利安-康斯坦丁·諾瓦克
scene-tmp-00203	Profile Details	個人資料詳情
scene-tmp-00205	Harufumi Sakasegawa	酒瀨川春文
scene-tmp-00206	Warning	警告
scene-tmp-00208	Topmak	托普馬克
scene-tmp-00209	Reset Password	重設密碼
scene-tmp-00210	Gundolf S. Freyermuth	岡多夫·S·弗雷爾穆斯
scene-tmp-00211	Last Login: Dec 4 2024	上次登入：2024年12月4日
scene-tmp-00212	Dec 24 2024	2024年12月24日
scene-tmp-00213	INR 1000000	1000000 印度盧比
scene-tmp-00214	Developed & Co-Published by 
Torpor Games	由 Torpor Games 開發並聯合發行
scene-tmp-00215	Adrien Farey	阿德里安·法雷
scene-tmp-00217	File Name:	檔案名稱：
scene-tmp-00218	Associate Producer	助理製作人
scene-tmp-00219	Loading...	載入中...
scene-tmp-00220	Story Selection - 28-11-2024 19-05-18	故事選擇 - 2024-11-28 19-05-18
scene-tmp-00221	Rizia	里齊亞
scene-tmp-00222	Torpor Mode Enabled	Torpor 模式已啟用
scene-tmp-00223	Tickets	票務
scene-tmp-00224	Window Mode	視窗模式
scene-tmp-00225	Nathan De Farias Lima	內森·德·法里亞斯·利馬
scene-tmp-00226	Sign up with Apple	使用 Apple 帳號註冊
scene-tmp-00227	Edit Username	編輯使用者名稱
scene-tmp-00228	Settings	設定
scene-tmp-00229	Saved on a different version	儲存於不同版本
scene-tmp-00231	Show Sordish Politicans	顯示 蘇德蘭人 政治人物
scene-tmp-00232	Panel Title	面板標題
scene-tmp-00233	Previous Token/Panel	上一個標記/面板
scene-tmp-00234	Permanently removes Ads from Sordland Story Pack & unlocks premium Save/Load	永久移除 蘇德蘭 劇情包中的廣告並解鎖進階儲存/讀取功能
scene-tmp-00235	Overview	結束檢視
scene-tmp-00236	Graphics	圖形
scene-tmp-00238	You can select a completed Sordland save to carry over your choices into the next story.	您可以選擇一個已完成的 蘇德蘭 存檔，將您的選擇延續到下一個故事中。
scene-tmp-00241	info value text text info dfddddddd	資訊數值文字文字資訊 dfddddddd
scene-tmp-00242	Achievements	成就
scene-tmp-00243	Play the Sordland Story Pack to unlock this item.	遊玩 蘇德蘭 劇情包以解鎖此項目。
scene-tmp-00245	Ministry of Propaganda and 
Society	部 宣傳與
社會
scene-tmp-00246	Sign up with Google	使用 Google 帳號註冊
scene-tmp-00247	SFX Volume	音效音量
scene-tmp-00248	Analytics Consent	分析同意
scene-tmp-00249	ROTATE	旋轉
scene-tmp-00250	Delete Analytics Data	刪除分析資料
scene-tmp-00251	Manual Save	手動存檔
scene-tmp-00252	Ministry of Design and
Quality Assurance	部設計與
品質保證
scene-tmp-00254	Torpor Mode Disabled	蟄伏模式已停用
scene-tmp-00255	1-Day Ticket	1日通行證
scene-tmp-00256	Delete	刪除
scene-tmp-00257	Marla Fitzsimmons	瑪拉·費茲西蒙斯
scene-tmp-00258	Zoom Out	縮小
scene-tmp-00259	Get full access to all story packs for 1 day, ad-free.	獲取1日完整故事包存取權，且無廣告。
scene-tmp-00261	Devastator	毀滅者
scene-tmp-00262	Jonathan Baker	喬納森·貝克
scene-tmp-00263	Restore Purchases	恢復購買
scene-tmp-00264	Between 1954-1958	1954年至1958年間
scene-tmp-00265	Main Story	主線故事
scene-tmp-00266	Erik Löfmark	埃里克·洛夫馬克
scene-tmp-00267	MALENYEVISM	馬列維主義
scene-tmp-00268	Ministry of Community Surveillance	部社區監控
scene-tmp-00269	Chris Wright	克里斯·萊特
scene-tmp-00270	Laurence Marie Gilbertz	勞倫斯·瑪麗·吉爾伯茨
scene-tmp-00273	Apply	套用
scene-tmp-00274	Dominic McMillan	多米尼克·麥克米蘭
scene-tmp-00275	Carousel Text	輪播文字
scene-tmp-00276	Güliz Dülgeroğlu Küpçü	居利茲·杜爾格奧盧·庫普丘
scene-tmp-00277	Des Gayle	德斯·蓋爾
scene-tmp-00278	Load Database	載入資料庫
scene-tmp-00279	Josh Hardy	喬什·哈迪
scene-tmp-00280	Andrea Lippi	安德烈·利皮
scene-tmp-00281	Finish 10 Actions	完成 10 項 法案
scene-tmp-00282	CHOOSE A PROFILE PICTURE	選擇頭像
scene-tmp-00283	Scout	偵察
scene-tmp-00284	Ashley Nicollette	阿什莉·尼科萊特
scene-tmp-00285	John Paul Velarde Jose	約翰·保羅·維拉爾德·何塞
scene-tmp-00286	(CONTRIBUTING MEMBERS)	（貢獻成員）
scene-tmp-00287	Accept	接受
scene-tmp-00288	Date:	日期：
scene-tmp-00289	Ministry of Writing and Design	部寫作與設計
scene-tmp-00290	Music Volume	音樂音量
scene-tmp-00291	- 20,000 HOS employees lost their jobs.
- More than 8000 people were arrested under charges for assisting Young Sords.
- Half a million women joined the workforce.
- 50,000 soldiers became unemployed.
- 238 people were killed.
- More than a million workers secured their rights under the new Workers Rights Act.
- Bludish crime decreased by 60%.
- Half a million women joined the workforce.
- 50,000 soldiers became unemployed.
- 238 people were killed.
- More than a million workers secured their rights under the new Workers Rights Act.
- Bludish crime decreased by 60%.	- 20,000 名 霍斯 員工失去了工作。
- 超過 8000 人因協助 青年蘇德蘭人 的指控而被捕。
- 五十萬名女性加入了勞動力市場。
- 50,000 名士兵失業。
- 238 人死亡。
- 超過一百萬名工人在新的勞工權利 法案 下保障了他們的權利。
- 布魯德人 犯罪率下降了 60%。
- 五十萬名女性加入了勞動力市場。
- 50,000 名士兵失業。
- 238 人死亡。
- 超過一百萬名工人在新的勞工權利 法案 下保障了他們的權利。
- 布魯德人 犯罪率下降了 60%。
scene-tmp-00292	ReyesEdward	雷耶斯·愛德華
scene-tmp-00293	History will remember you as a...	歷史將會銘記你是一位……
scene-tmp-00295	Brian Kelleher	布萊恩·凱萊赫
scene-tmp-00296	CHOOSE A POLITICAL AFFILIATION	選擇政治傾向
scene-tmp-00297	Lighting	光照
scene-tmp-00298	SOLLISM	索爾主義
scene-tmp-00299	Lennert Suykerbuyk	倫納特·蘇克布伊克
scene-tmp-00300	Locked	已鎖定
scene-tmp-00301	Return	返回
scene-tmp-00302	Mohammad Darwazeh	穆罕默德·達瓦澤
scene-tmp-00304	ACHIEVEMENTS:	成就：
scene-tmp-00305	1/2 Cloud Saves	1/2 雲端存檔
scene-tmp-00306	<size=19>(Press)</size> Hyperlinks	<size=19>（點擊）</size> 超連結
scene-tmp-00307	Continue with Google	使用 Google 繼續
scene-tmp-00308	E-Mail Address	電子郵件地址
scene-tmp-00309	Oscar Watson	奧斯卡·沃森
scene-tmp-00310	You are currently playing as a guest.
Login to use your Suzerain profile across devices.	您目前以訪客身份遊玩。
登入以在不同裝置間使用您的《Suzerain》個人檔案。
scene-tmp-00311	If the email is found, you will receive an email shortly.	若找到該電子郵件，您將很快收到一封郵件。
scene-tmp-00312	Paweł Majewski	帕維爾·馬耶夫斯基
scene-tmp-00313	Zoom In	放大
