# src	tgt
# Manual entries below take precedence over the auto block.
Sordland	蘇德蘭
Justice	司法
Luderin	盧德林
Terador	特拉多爾
Borin	博林
Court	法院
Ribel	里貝爾
Rusty	拉斯蒂
Tory	托里
Nedam Mining Group	內達姆礦業集團
HOS Advertising	霍斯廣告
Queen Lyza	萊扎女王
Oligarchs	寡頭
Markian	馬爾基安
State	國家
Sord	蘇德蘭人
Tusk	塔斯克
Ariana Toras Association	阿麗亞娜·托拉斯協會
Alphonso Foundation	阿方索基金會
Heart of Sordland	蘇德蘭之心
Member of Honor	榮譽成員
Royal Council	皇家委員會
FC Gelsord	格爾索德足球俱樂部
Speaker	議長
Vectern	維克特
Suheil	蘇海爾
Vesord	維索德
Walker	沃克
Wruhec	烏赫
Franc	弗蘭克
Qalus	卡盧斯
Sordish Broadcasting Corporation	蘇德蘭廣播公司
Vice President Petr Vectern	彼得·維克特副總統
Rizian People's Party RPP	里齊亞人民黨
Sallabes Grandsanctuary	薩拉貝斯大聖所
Governor Phelix Bron	菲利克斯·布隆總督
Duke of Valenqiris	瓦倫基里斯公爵
Kingdom of Rumburg	倫堡王國
President Alphonso	阿方索總統
Rizian Oil and Gas	里齊亞石油與天然氣
Axel Reinhart	阿克塞爾·萊因哈特
Central Bank	中央銀行
Civil War	內戰
The State	國家
Treasury	財政部
Taurus	托拉斯
Zpana	茲帕納
The Alliance of Nations	國家聯盟
In President Rayne	在雷恩總統任內
Republic of Lespia	萊斯皮亞共和國
Manoly Suheil	馬諾利·蘇海爾
Titus Gordion	提圖斯·戈爾迪翁
Grand Vizier	大維齊爾
Golconda	戈爾孔
Republic	共和國
Contana	康塔納
Rezenid	雷澤尼德
Wehzeks	威倫人
Nargis	納吉斯
Ribery	里貝里
Solles	索爾斯
House	家族
Krull	克魯爾
Remaz	雷馬茲
Hugo	雨果
The Grand National Assembly of Sordland	蘇德蘭大國民議會
Porte Drazon Stock Exchange	德拉松港證券交易所
Palas Rezna Porte Drazon	帕拉斯·雷茲納德拉松港
Kingshill University	國王山大學
Authority Per Turn	每回合權威
Grandsanctuary	大聖所
Daria de Rava	達里亞·德·拉瓦
Emergency Act	緊急狀態法
Albin Clavin	阿爾賓·克拉文
Folce Dator	福爾斯·達托爾
Section III	第三節
Benievon	貝尼埃馮
Protests	抗議
# <<< auto-glossary
